id,bdate,city,country,sex,is_closed,age,priority,marker
164057561,1983-10-19,20950,1,2,0,39,6.0,1.0
164066249,1970-12-13,20950,1,2,1,52,8.0,1.0
164154367,1996-08-21,20950,1,2,0,26,5.0,1.0
164172463,1988-03-21,4460,16,2,0,34,6.0,1.0
164177884,1989-01-02,18,1,1,0,33,6.0,1.0
164205223,1981-08-13,20950,1,1,1,41,8.0,1.0
164222276,1975-10-10,346,1,1,0,47,6.0,1.0
164245689,1987-01-02,20950,1,2,1,35,8.0,1.0
164291893,1986-02-28,147,1,2,0,36,6.0,1.0
164302116,1986-06-26,20950,1,1,1,36,8.0,1.0
164354718,1977-06-02,20950,1,1,0,45,6.0,1.0
164360218,1982-03-03,119,1,2,0,40,6.0,1.0
164370956,1990-11-21,22295,1,2,0,32,6.0,1.0
164399993,2000-09-26,20950,1,2,1,22,8.0,1.0
164455340,1989-03-28,360,1,1,1,33,8.0,1.0
164488900,1984-08-15,264,1,1,1,38,8.0,1.0
164499261,1988-01-04,20950,1,2,1,34,8.0,1.0
164547908,1984-04-05,20950,1,2,1,38,8.0,1.0
164700457,1984-05-25,20950,1,1,1,38,8.0,1.0
164715671,1985-05-26,20950,1,2,0,37,6.0,1.0
164728466,2006-12-27,158,1,2,0,16,5.0,1.0
164856637,1981-11-19,20950,1,1,1,41,8.0,1.0
164858616,1968-07-27,1057,2,2,0,54,6.0,1.0
164875238,1998-09-07,20950,1,2,0,24,5.0,1.0
164897030,1985-01-01,1,1,2,0,37,6.0,1.0
164922225,1977-02-07,20950,1,2,0,45,6.0,1.0
164995126,1985-08-13,20950,11,2,0,37,6.0,1.0
165035337,1987-03-01,20950,1,1,0,35,6.0,1.0
165042926,1990-03-15,60,1,2,1,32,8.0,1.0
165051065,1995-01-16,23,1,2,1,27,8.0,1.0
165075140,1989-04-06,20950,1,1,0,33,6.0,1.0
165083129,1990-12-24,354,1,1,0,32,6.0,1.0
165091321,1998-11-27,20950,1,1,0,24,5.0,1.0
165104575,1977-08-07,1,1,1,0,45,6.0,1.0
165125819,2000-10-01,20950,1,1,1,22,8.0,1.0
165156231,1986-10-14,20950,1,2,0,36,6.0,1.0
165210757,1989-12-26,5539,1,1,1,33,8.0,1.0
165214980,1971-05-29,1,1,1,0,51,6.0,1.0
165231293,1988-05-22,12534,1,2,1,34,8.0,1.0
165239731,1902-10-16,1017,9,2,0,120,7.0,1.0
165324410,1981-11-08,2,1,1,0,41,6.0,1.0
165343748,1916-12-16,20950,1,2,0,106,7.0,1.0
165347241,1980-06-06,49,1,2,1,42,8.0,1.0
165348576,1965-06-02,20950,1,1,0,57,6.0,1.0
165357988,1999-09-18,20950,1,2,0,23,5.0,1.0
165373236,1991-08-13,20950,1,2,0,31,6.0,1.0
165381790,1993-12-07,20950,1,2,1,29,8.0,1.0
165387700,1989-05-07,977,1,1,0,33,6.0,1.0
165393605,1965-06-22,283,1,1,0,57,6.0,1.0
165401692,1971-09-04,20950,1,1,1,51,8.0,1.0
165406763,1982-02-23,20950,1,1,0,40,6.0,1.0
165408525,1991-03-28,110,1,2,1,31,8.0,1.0
165418848,1993-06-02,20950,1,2,0,29,5.0,1.0
165446873,1991-11-26,20950,1,2,0,31,6.0,1.0
165499355,1947-08-17,151,1,1,0,75,7.0,1.0
165519788,1992-08-31,20950,1,2,0,30,5.0,1.0
165551085,1986-06-20,1084841,1,1,0,36,6.0,1.0
165571092,1984-02-06,20950,1,1,1,38,8.0,1.0
165596297,1997-11-11,2,1,1,0,25,5.0,1.0
165632476,1979-03-26,136,1,2,1,43,8.0,1.0
165682395,1981-07-03,20950,1,1,1,41,8.0,1.0
165688247,1985-01-21,20950,1,2,1,37,8.0,1.0
165721278,1970-08-13,788,1,2,0,52,6.0,1.0
165722063,1978-08-23,385,1,2,0,44,6.0,1.0
165778990,1988-03-08,60,1,2,0,34,6.0,1.0
165810868,1968-03-26,20950,1,1,0,54,6.0,1.0
165814861,1983-01-28,20950,1,1,1,39,8.0,1.0
165844056,1979-01-26,20950,1,2,0,43,6.0,1.0
165877134,1967-12-17,56,1,1,0,55,6.0,1.0
165950092,1996-04-29,1,1,2,0,26,5.0,1.0
165975920,1996-01-11,60,1,2,0,26,5.0,1.0
165980375,1986-09-06,1,1,1,0,36,6.0,1.0
165990075,1996-01-25,20950,1,2,0,26,5.0,1.0
166002879,1984-06-13,147,1,2,1,38,8.0,1.0
166023738,1995-07-11,20950,1,1,1,27,8.0,1.0
166068726,1992-07-02,20950,1,2,0,30,5.0,1.0
166107038,1996-09-05,20950,1,2,1,26,8.0,1.0
166124023,1991-09-16,20950,1,2,0,31,6.0,1.0
166135548,1955-09-24,72,1,1,0,67,7.0,1.0
166147160,1993-07-30,1,1,2,0,29,5.0,1.0
166155802,1965-02-23,20950,4,1,0,57,6.0,1.0
166169377,1989-11-25,20950,1,1,0,33,6.0,1.0
166184264,1994-07-25,95,1,1,0,28,5.0,1.0
166184441,1994-08-03,20950,1,2,0,28,5.0,1.0
166216704,1990-09-04,151,1,1,1,32,8.0,1.0
166224757,1983-03-12,20950,1,2,1,39,8.0,1.0
166244583,1996-12-15,2,1,1,1,26,8.0,1.0
166250654,1984-05-26,158,1,1,0,38,6.0,1.0
166269480,1993-05-30,103,1,2,1,29,8.0,1.0
166275163,1978-02-23,151,1,1,0,44,6.0,1.0
166285562,1988-08-21,147,1,2,1,34,8.0,1.0
166308786,1973-04-27,20950,1,2,0,49,6.0,1.0
166316663,1981-08-24,20950,1,2,1,41,8.0,1.0
166340200,1996-07-11,147,1,2,1,26,8.0,1.0
166345935,1985-02-13,20950,1,2,1,37,8.0,1.0
166386980,1974-07-10,20950,1,2,1,48,8.0,1.0
166389614,1998-11-03,20950,1,1,0,24,5.0,1.0
166402937,1972-08-22,20950,1,1,0,50,6.0,1.0
166458769,1991-10-25,20950,1,1,1,31,8.0,1.0
166460286,1996-10-15,20950,1,2,0,26,5.0,1.0
166524663,1994-01-01,20950,1,1,0,28,5.0,1.0
166526389,1986-11-04,20950,1,1,0,36,6.0,1.0
166562512,1975-01-14,20950,1,1,0,47,6.0,1.0
166568701,1979-01-13,20950,1,2,0,43,6.0,1.0
